Input Text Index,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Score
1,9.146157264709473,3.4,8.6,2605023232,2049212416,7.0950469970703125
3,84.9912679195404,8.2,14.6,2176319488,2612346880,7.2584075927734375
4,91.45840501785278,17.5,25.4,2746187776,2418802688,7.363456726074219
