Input Text Index,Input Tokens,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Perplexity,Bleu,Hallucination
0,0,80.78142666816711,0.0,91.575,11.657001097848568,12.078434903081728,1.916216254234314,0,0.34962135553359985
1,7,80.13816285133362,67.575,92.65,17.59998799618879,17.59913772622808,2.1187849044799805,0.06237923061531353,0.42675936222076416
2,0,79.73886489868164,63.575,92.55,17.825009440497357,17.825259519897568,1.916216254234314,0,0.34962135553359985
3,212,85.83859133720398,67.375,94.0,17.73222998301961,17.74113280966707,13.323015213012695,0.7100133839405113,0.7390741109848022
4,233,86.27904605865479,84.575,94.125,17.69986970863249,17.700769994473244,10.302199363708496,0.7123508210550348,0.11864547431468964
5,0,79.97942876815796,83.15,92.525,17.659907020479,17.659706956958836,1.916216254234314,0,0.34962135553359985
6,6,80.00329446792603,66.3,92.55,17.74898530283365,17.748785239313484,2.07362961769104,0.09072069007511593,0.2721787393093109
7,0,80.0247254371643,64.825,92.5,17.733280316500487,17.733080252980322,1.916216254234314,0,0.34962135553359985
8,0,79.98897957801819,64.5,92.5,17.750185683954655,17.74998562043449,1.916216254234314,0,0.34962135553359985
9,18,80.78091597557068,66.9,92.575,17.7319799036194,17.731779840099232,1.9376691579818726,0.15952108192798922,0.03537935018539429
10,0,80.03180170059204,66.925,92.5,18.027623770547148,18.029024215188322,1.916216254234314,0,0.34962135553359985
11,169,84.93871212005615,65.075,93.85,17.7341305864612,17.734430681741454,12.324234008789062,0.6026953444569351,0.3576348125934601
12,244,87.11427664756775,82.275,93.9,18.199028191450786,18.199228254970954,15.434457778930664,0.7017142297824548,0.012490293942391872
13,0,80.34519529342651,86.1,92.35,18.02342243662363,18.023222373103458,1.916216254234314,0,0.34962135553359985
14,14,80.17971873283386,65.275,92.575,17.73543099934229,17.738331920384724,2.2221839427948,0.0776554320211718,0.10112851113080978
15,0,79.8643901348114,67.825,92.35,17.737081523383676,17.738481968024846,1.916216254234314,0,0.34962135553359985
