Input Text Index,Input Tokens,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Perplexity,Bleu,Hallucination
0,0,4.471621990203857,2.0,18.8,2691350528,3071246336,1.7136292457580566,0,0.036946672946214676
1,7,5.556396961212158,25.5,32.9,3205545984,3885957120,3.1461572647094727,0.025590159040508702,0.04470721259713173
2,0,5.313928127288818,25.1,19.0,3254632448,3876880384,1.7136292457580566,0,0.036946672946214676
3,212,21.89706301689148,24.2,18.7,3389227008,3908665344,12.243613243103027,0.686589755597655,0.797595739364624
4,233,23.60207724571228,25.3,18.0,3424796672,3807002624,9.315597534179688,0.7188122183671228,0.07189030945301056
5,0,5.00151515007019,25.6,30.2,3279273984,3881795584,1.7136292457580566,0,0.036946672946214676
6,6,5.666338205337524,34.0,19.2,3394699264,3883581440,2.3699445724487305,0.032610361933570184,0.029786687344312668
7,0,5.403742074966431,25.4,20.0,3336503296,3949314048,1.7136292457580566,0,0.036946672946214676
8,0,5.157732009887695,22.9,20.5,3372318720,3876995072,1.7136292457580566,0,0.036946672946214676
9,18,6.6381471157073975,23.7,20.9,3293020160,3912417280,1.875206470489502,0.18317070220681322,0.26650869846343994
10,0,4.764719009399414,22.5,43.3,3326427136,3912990720,1.7136292457580566,0,0.036946672946214676
