Input Text Index,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Score
98,2.344994068145752,23.1,46.5,3189014528,3159080960,32.94000244140625
99,2.670206069946289,42.1,46.2,2971598848,3135569920,20.870267868041992
100,2.3577027320861816,29.4,36.2,3137880064,3185459200,16.359594345092773
101,2.250018835067749,30.0,41.6,3083370496,3266150400,7.695566654205322
103,2.2115790843963623,40.2,34.0,3214032896,3117973504,1.8706438541412354
105,2.20343279838562,25.8,37.1,3193372672,3201449984,9.166712760925293
106,2.9309070110321045,20.3,33.9,3195764736,3164323840,23.840721130371094
107,2.695448160171509,11.1,35.9,3168387072,3175317504,23.90966033935547
109,2.1054887771606445,25.9,36.7,3167436800,3145138176,1.4546935558319092
111,2.467276096343994,21.0,36.2,3193946112,3172892672,22.749658584594727
112,2.207977056503296,20.3,36.6,3079127040,3191324672,17.388017654418945
113,2.3609941005706787,32.0,35.8,3121184768,3193978880,58.46875
116,2.0622646808624268,31.4,35.2,3183771648,3165700096,3.2376058101654053
118,2.26008677482605,25.7,49.7,3176579072,3147579392,13.289958000183105
119,2.362445116043091,33.8,34.8,3108552704,3191341056,11.823958396911621
120,2.956078052520752,21.1,67.6,3193716736,2982117376,12.241368293762207
121,2.4168689250946045,53.8,72.7,2900901888,3147448320,6.34414005279541
123,2.3975372314453125,42.8,34.2,3145236480,3111878656,1.804862141609192
125,2.483665943145752,24.1,36.5,3155476480,3167698944,15.128449440002441
126,2.5254321098327637,19.1,37.5,3273441280,3197517824,8.938076972961426
128,2.216391086578369,21.0,37.2,3159064576,3186753536,1.786853313446045
130,2.696018934249878,22.7,42.6,3202072576,3163717632,22.311952590942383
131,1.9289720058441162,12.8,36.7,3172302848,3186343936,23.59504508972168
133,2.086616039276123,20.4,31.4,3205955584,3185360896,1.681821346282959
135,2.574287176132202,26.0,34.9,3248406528,3227598848,10.809771537780762
136,2.4148149490356445,14.1,34.4,3191373824,3187785728,11.078276634216309
138,2.0845789909362793,14.5,35.1,3186671616,3187785728,1.6169785261154175
140,2.1870691776275635,25.9,34.9,3211968512,3254386688,10.592558860778809
141,2.3865060806274414,20.9,35.7,3242213376,3259613184,14.911467552185059
142,2.2699408531188965,19.5,36.9,3217309696,3191521280,18.689441680908203
143,2.3108088970184326,17.6,34.7,3220930560,3231072256,17.373701095581055
145,2.1419918537139893,14.7,36.4,3220979712,3274096640,1.7243001461029053
147,2.488905906677246,25.5,34.0,3278929920,3188523008,20.045852661132812
149,2.058912992477417,19.8,34.6,3178545152,3188981760,1.6817548274993896
151,2.0582451820373535,21.4,35.2,3233431552,3292413952,1.2787065505981445
152,2.0762460231781006,21.3,36.1,3280437248,3267330048,1.870891809463501
153,2.0829250812530518,28.1,36.8,3256680448,3289874432,1.8323527574539185
155,2.059731960296631,21.5,34.2,3280896000,3244589056,1.769526720046997
157,2.04580020904541,23.3,35.5,3280814080,3290185728,4.481825828552246
158,2.0487167835235596,22.8,34.8,3280650240,3276210176,2.5500378608703613
159,2.0259580612182617,28.6,35.3,3285434368,3269001216,2.6468021869659424
160,0.9465961456298828,21.4,22.5,3295805440,3284811776,7.172631740570068
161,2.3440420627593994,18.5,35.8,3238133760,3296968704,2.3667125701904297
162,2.0546109676361084,21.2,36.5,3302129664,3289563136,4.578849792480469
163,0.7059400081634521,27.4,22.1,3262709760,3284631552,6.26153039932251
164,2.6127500534057617,16.1,43.7,3277651968,3269984256,2.5535969734191895
165,2.116689920425415,20.7,40.4,3293478912,3264299008,3.3556230068206787
167,2.085301160812378,25.1,42.7,3278045184,3180658688,1.5548498630523682
170,2.3917670249938965,36.2,43.7,3127279616,3296952320,1.5541820526123047
173,2.0753979682922363,23.6,36.9,3271262208,3304046592,1.7006996870040894
177,2.06371808052063,23.5,34.9,3282878464,3280191488,2.177809476852417
179,2.3299050331115723,25.7,64.5,3244720128,2963079168,12.889913558959961
180,2.3202250003814697,72.7,39.6,2725609472,3153674240,18.69312286376953
182,2.226707935333252,20.3,38.2,3129999360,3272458240,1.4940907955169678
184,2.208839178085327,21.3,37.0,3280551936,3312418816,9.50277042388916
185,2.416853904724121,21.2,34.3,3313745920,3294019584,16.82787322998047
186,2.349019765853882,24.9,38.0,3299295232,3266314240,19.572118759155273
187,2.5588250160217285,24.8,34.9,3287941120,3244408832,13.143840789794922
189,2.0656559467315674,18.8,34.6,3255566336,3258269696,1.6972590684890747
191,2.7616798877716064,24.8,35.7,3292512256,3280617472,23.04816436767578
192,2.4108870029449463,19.9,40.2,3276079104,3276292096,11.976317405700684
193,2.4586181640625,24.5,37.7,3265019904,3267100672,13.75582504272461
195,2.4032552242279053,25.9,43.1,3173662720,3209756672,1.5904713869094849
197,3.067214012145996,34.0,42.4,3068477440,2895527936,17.7197322845459
198,2.6831002235412598,24.4,40.5,2965667840,3163422720,14.465744972229004
200,2.4867231845855713,22.2,43.9,3179888640,2957836288,1.6122381687164307
202,2.781670093536377,29.2,39.8,2941763584,3091841024,19.403409957885742
203,2.8587698936462402,24.2,48.8,2944843776,2990178304,14.566397666931152
204,3.216956853866577,35.0,35.1,2882158592,3113680896,12.978132247924805
205,2.6892080307006836,17.9,37.2,3087548416,3237511168,15.862971305847168
206,2.763561964035034,29.3,40.4,3268018176,3186376704,24.29706382751465
208,2.3457229137420654,22.7,37.9,3052093440,3326754816,1.5320745706558228
210,2.834367036819458,27.3,38.2,3337191424,3041804288,12.470417976379395
211,2.5485329627990723,20.4,40.1,3030990848,3222814720,21.50916290283203
213,2.213413953781128,22.0,42.7,3207593984,3211902976,1.9223216772079468
215,2.8363430500030518,27.2,38.5,3190177792,3224551424,16.020700454711914
217,2.5216171741485596,23.4,51.7,3255894016,3032662016,1.5748088359832764
219,3.257875919342041,33.1,41.4,2953265152,3057221632,17.133956909179688
221,2.3749372959136963,23.7,51.3,3074211840,3033841664,1.88052237033844
223,2.9305121898651123,44.2,44.2,2919202816,3212558336,21.38515853881836
225,2.22473406791687,25.8,38.2,3197992960,3217817600,1.7634576559066772
227,2.402693033218384,22.8,36.2,3273244672,3217784832,19.814802169799805
229,2.057220220565796,13.3,36.0,3255320576,3208069120,1.8505821228027344
231,2.3814280033111572,24.6,35.5,3280289792,3287285760,17.07520866394043
232,2.3535568714141846,24.9,34.0,3272474624,3280814080,12.973417282104492
233,2.1639068126678467,20.8,43.4,3299901440,3284189184,9.950788497924805
235,2.0834200382232666,35.3,35.8,3281518592,3293085696,1.6131680011749268
237,2.2554121017456055,23.8,35.5,3328360448,3236724736,18.385095596313477
238,2.3972859382629395,28.8,34.3,3295641600,3162112000,11.646735191345215
240,2.0744009017944336,18.9,36.2,3188310016,3220750336,1.5446135997772217
243,2.033522367477417,22.1,34.6,3249029120,3245522944,1.5102598667144775
245,2.6283318996429443,27.5,34.6,3319676928,3159015424,21.761409759521484
247,2.0650570392608643,21.9,33.4,3177218048,3115597824,1.6564998626708984
249,2.2381889820098877,25.2,35.3,3215654912,3287154688,13.090665817260742
250,2.025834083557129,24.1,36.8,3236839424,3206397952,26.057437896728516
251,2.176346778869629,25.4,35.9,3292315648,3224125440,11.764456748962402
252,2.256265878677368,24.7,34.6,3246653440,3243212800,12.980121612548828
254,2.0730338096618652,20.2,35.4,3232268288,3242672128,1.9805632829666138
256,2.5437469482421875,22.8,34.7,3252371456,3178758144,21.507431030273438
257,2.4001569747924805,14.7,35.0,3199533056,3198697472,20.7620906829834
258,2.431818962097168,20.8,33.6,3226435584,3217735680,24.64009666442871
259,2.343355178833008,17.4,35.4,3182116864,3212410880,15.979604721069336
260,2.4035260677337646,17.2,36.2,3218489344,3182542848,22.657377243041992
261,2.0867919921875,17.9,35.9,3185344512,3200778240,24.303449630737305
264,2.0808959007263184,26.7,34.4,3170435072,3218571264,1.8012992143630981
266,2.3100481033325195,26.3,34.5,3246899200,3219062784,10.070886611938477
267,2.210852861404419,20.8,35.3,3265150976,3204775936,7.715543746948242
269,2.0917181968688965,21.2,37.7,3216621568,3214868480,1.562734842300415
271,2.4651341438293457,31.3,35.5,3277012992,3187998720,11.558149337768555
272,2.2344119548797607,12.9,36.8,3171418112,3203104768,10.407979011535645
274,2.061081886291504,21.4,35.2,3187097600,3160145920,1.5056513547897339
276,2.5618908405303955,25.3,34.7,3240312832,3096018944,28.31829261779785
277,2.49157977104187,18.6,34.0,3047489536,3155083264,20.04611587524414
278,2.160088062286377,17.6,36.6,3171975168,3188572160,8.543437957763672
279,2.367594003677368,21.1,34.6,3222781952,3164651520,15.417304992675781
280,2.1772677898406982,17.9,34.7,3186245632,3198091264,7.936914443969727
282,2.0935680866241455,21.3,34.8,3204907008,3213983744,1.5964925289154053
