Input Text Index,Tempo di inferenza,Uso CPU prima,Uso CPU dopo,Uso memoria prima,Uso memoria dopo,Perplexity,Bleu
1,2.0620129108428955,2.2,16.4,2926002176,2997207040,1.673529863357544,1.0
3,2.328094005584717,5.4,17.7,3013296128,2718990336,15.79786491394043,0.6271100655837559
4,2.304633140563965,6.5,17.6,2740846592,2784837632,30.432464599609375,0.6203427560060726
6,1.9453661441802979,3.4,17.4,2794962944,2915893248,1.7081825733184814,1.0
9,1.970815896987915,2.6,17.7,2901704704,2894757888,1.9602867364883423,0.8801117367933934
11,2.223238945007324,3.1,23.0,2843738112,2933407744,13.164639472961426,0.599986532784576
12,2.30653715133667,2.1,17.9,2907242496,2794504192,20.291114807128906,0.66364590976901
14,0.6741378307342529,6.9,28.6,2880651264,2995322880,10.000527381896973,0.2515565919019027
16,2.718630075454712,25.0,25.1,3057319936,2728919040,19.019882202148438,0.6812073389463522
